mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;experiment
vigilancia;2.0;comprec;7335;0.2;True;True;True;ml_rf;49314;12382;198;49;2000;68;72;68;0.9945081570020998;35.0;0.0;1.0;12278.0;1.0;0.9722222222222222;0.9859154929577465;0.9776536312849162;48.0;0.0;1.0;12333.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;46.84;2.23;2.1599999999999997;12330.77;0.9545547177501529;0.9559183673469388;0.9552360558784542;0.9556453258252745;kfold
vigilancia;2.0;comprec;5093;0.2;True;True;True;ml_rf;49198;12498;198;49;2000;68;70;68;0.9945591294607137;35.0;0.0;1.0;12394.0;1.0;0.9722222222222222;0.9859154929577465;0.9776536312849162;48.0;0.0;1.0;12449.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.019999999999996;2.2800000000000002;1.9799999999999998;12446.720000000001;0.9537525354969574;0.959591836734694;0.9566632756866734;0.9584182633509988;kfold
vigilancia;2.0;comprec;6543;0.2;True;True;True;ml_rf;49072;12624;198;49;2000;77;84;77;0.9939005069708492;39.0;0.0;1.0;12507.0;1.0;0.975;0.9873417721518988;0.9798994974874372;48.0;0.0;1.0;12575.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;47.33;3.24;1.6700000000000002;12571.760000000002;0.935930393513941;0.9659183673469387;0.9506879582203476;0.9597680171959281;kfold
vigilancia;2.0;comprec;1640;0.2;True;True;True;ml_rf;49622;12074;198;49;2000;86;88;86;0.9928772569156866;42.0;0.0;0.0;11946.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12025.0;1.0;1.0;1.0;1.0;48.45;3.56;0.55;12021.44;0.93155162468756;0.9887755102040817;0.9593109593109593;0.9767751300350793;kfold
vigilancia;2.0;comprec;5344;0.2;True;True;True;ml_rf;49481;12215;198;49;2000;92;103;92;0.9924682767089644;36.0;0.0;0.0;12087.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12166.0;1.0;1.0;1.0;1.0;47.89;3.4800000000000004;1.11;12162.519999999999;0.9322561806501849;0.9773469387755103;0.9542692039454019;0.9679831830860655;kfold
vigilancia;2.0;comprec;5409;0.2;True;True;True;ml_rf;49374;12322;198;49;2000;91;103;91;0.9926148352540172;40.0;0.0;0.0;12191.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12273.0;1.0;1.0;1.0;1.0;48.38999999999999;3.48;0.6099999999999999;12269.52;0.9329091960670909;0.9875510204081632;0.9594527609794785;0.9761165126881027;kfold
vigilancia;2.0;comprec;6438;0.2;True;True;True;ml_rf;49373;12323;198;49;2000;49;52;49;0.9960236955286862;40.0;0.0;3.0;12231.0;1.0;0.9302325581395349;0.963855421686747;0.9433962264150944;46.0;0.0;3.0;12274.0;1.0;0.9387755102040817;0.968421052631579;0.9504132231404959;45.57;1.8400000000000003;3.43;12272.160000000002;0.9611896224425226;0.93;0.945337620578778;0.9360749352943593;kfold
vigilancia;2.0;comprec;8789;0.2;True;True;True;ml_rf;49441;12255;198;49;2000;91;94;91;0.9925744594043248;34.0;0.0;1.0;12129.0;1.0;0.9714285714285714;0.9855072463768116;0.9770114942528736;48.0;0.0;1.0;12206.0;1.0;0.9795918367346939;0.9896907216494846;0.9836065573770492;46.949999999999996;3.22;2.0500000000000003;12202.779999999999;0.9358182180586008;0.9581632653061225;0.9468589291116265;0.9536092943900557;kfold
vigilancia;2.0;comprec;9730;0.2;True;True;True;ml_rf;49112;12584;198;49;2000;94;99;94;0.9925301970756516;45.0;0.0;0.0;12445.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12535.0;1.0;1.0;1.0;1.0;48.559999999999995;4.1;0.44;12530.9;0.9221420432966198;0.9910204081632653;0.9553413338579579;0.9764336845491837;kfold
vigilancia;2.0;comprec;3347;0.2;True;True;True;ml_rf;49409;12287;198;49;2000;89;95;89;0.9927565719866526;37.0;0.0;0.0;12161.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12238.0;1.0;1.0;1.0;1.0;48.14000000000001;3.5000000000000004;0.8600000000000001;12234.5;0.9322230828814873;0.9824489795918367;0.9566772655007949;0.9719754482313036;kfold
vigilancia;2.0;comprec;9873;0.2;True;True;True;ml_rf;49496;12200;198;49;2000;96;103;96;0.9921311475409836;40.0;0.0;0.0;12064.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12151.0;1.0;1.0;1.0;1.0;48.24;3.8600000000000003;0.7599999999999999;12147.14;0.9259117082533589;0.9844897959183674;0.9543026706231453;0.9721886336154776;kfold
confirmacao;0.5;comprec;7312;0.2;True;True;True;ml_rf;49396;12300;198;49;1000;95;102;95;0.9922764227642277;18.0;0.0;0.0;12187.0;1.0;1.0;1.0;1.0;49.0;0.0;0.0;12251.0;1.0;1.0;1.0;1.0;47.17;2.75;1.83;12248.249999999998;0.944911858974359;0.9626530612244898;0.9536999595632835;0.9484075920862152;kfold
confirmacao;0.5;comprec;983;0.2;True;True;True;ml_rf;49187;12509;198;49;1000;80;85;80;0.9936046046846271;21.0;0.0;4.0;12404.0;1.0;0.84;0.9130434782608695;0.963302752293578;45.0;0.0;4.0;12460.0;1.0;0.9183673469387755;0.9574468085106383;0.982532751091703;43.78;2.16;5.22;12457.840000000002;0.9529821506312582;0.8934693877551021;0.9222666947545819;0.9404536862003782;kfold
