mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;ablation;platt_intercept;platt_slope
vigilancia;2.0;comprec;789;0.3;True;True;True;stub;43497;18199;173;74;2000;2000;18166;2000;0.8901038518599923;72.0;12050.0;0.0;4077.0;0.005939613925094869;1.0;0.011809086435952108;0.029008863819500404;74.0;12050.0;0.0;6075.0;0.006103596172880237;1.0;0.012133136579767174;0.029790660225442835;73.91;12246.02;0.09;5878.98;0.00599922239817921;0.9987837837837837;0.011926806105892158;0.029292331203486382;cal=stub;;
vigilancia;2.0;comprec;2024;0.3;True;True;True;stub;43230;18466;173;74;2000;2000;18428;2000;0.8916928408967832;72.0;12559.0;0.0;3835.0;0.005700261261974507;1.0;0.011335904904353303;0.027865933895812368;74.0;12559.0;0.0;5833.0;0.0058576743449695245;1.0;0.011647123632643424;0.028617835872843993;73.91;12755.16;0.09;5636.84;0.0057611346730511255;0.9987837837837837;0.011456188333474126;0.02815604031064215;cal=stub;;
confirmacao;0.5;comprec;42;0.3;True;True;True;stub;43361;18335;173;74;1000;1000;18304;1000;0.9454595036814835;28.0;0.0;8.0;17299.0;1.0;0.7777777777777778;0.875;0.9459459459459459;66.0;0.0;8.0;18261.0;1.0;0.8918918918918919;0.9428571428571428;0.9763313609467456;62.92;51.8;11.08;18209.2;0.548465829846583;0.8502702702702702;0.6668079694785926;0.5903768202972527;cal=stub;;
confirmacao;0.5;comprec;123;0.3;True;True;True;stub;43329;18367;173;74;1000;1000;18341;1000;0.9455545271410682;25.0;0.0;14.0;17328.0;1.0;0.6410256410256411;0.78125;0.8992805755395683;60.0;0.0;14.0;18293.0;1.0;0.8108108108108109;0.8955223880597015;0.9554140127388535;57.29;52.540000000000006;16.71;18240.46;0.5216243285076937;0.7741891891891892;0.6232932600772453;0.5580339749084392;cal=stub;;
confirmacao;0.5;comprec;456;0.3;True;True;True;stub;42979;18717;173;74;1000;1000;18685;1000;0.9465726345033927;31.0;0.0;6.0;17680.0;1.0;0.8378378378378378;0.9117647058823529;0.9627329192546584;68.0;0.0;6.0;18643.0;1.0;0.918918918918919;0.9577464788732394;0.9826589595375722;65.04;51.68000000000001;8.96;18591.32;0.5572309801233721;0.878918918918919;0.6820469798657718;0.6012424197603904;cal=stub;;
confirmacao;0.5;comprec;789;0.3;True;True;True;stub;43497;18199;173;74;1000;1000;18158;1000;0.9450519259299962;24.0;1.0;12.0;17162.0;0.96;0.6666666666666666;0.7868852459016393;0.8823529411764706;62.0;1.0;12.0;18124.0;0.9841269841269841;0.8378378378378378;0.9051094890510949;0.950920245398773;58.949999999999996;52.720000000000006;15.05;18072.28;0.5278946897107548;0.7966216216216215;0.6349975763451284;0.5660866559115003;cal=stub;;
confirmacao;0.5;comprec;2024;0.3;True;True;True;stub;43230;18466;173;74;1000;1000;18431;1000;0.9458464204483916;28.0;0.0;17.0;17421.0;1.0;0.6222222222222222;0.7671232876712328;0.89171974522293;57.0;0.0;17.0;18392.0;1.0;0.7702702702702703;0.8702290076335878;0.9437086092715232;54.77;52.31999999999999;19.230000000000004;18339.68;0.5114389765617705;0.7401351351351352;0.6048925948423436;0.5451270005573693;cal=stub;;
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;105;117;105;0.9942732478865558;62.0;0.0;1.0;18167.0;1.0;0.9841269841269841;0.992;0.9872611464968153;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.25;3.9600000000000004;1.75;18257.04;0.9480383151817348;0.9763513513513513;0.9619865521603088;0.970554257005454;MACD_ON;;
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;112;119;112;0.9939021070397996;54.0;0.0;3.0;18198.0;1.0;0.9473684210526315;0.972972972972973;0.9574468085106383;71.0;0.0;3.0;18293.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.77;4.04;4.23;18288.96;0.945264869258908;0.9428378378378378;0.9440497936540154;0.9433222465590437;MACD_ON;;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;160;180;160;0.9914516215205428;61.0;0.0;0.0;18496.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;73.17;6.7;0.83;18636.3;0.9161136847376987;0.9887837837837838;0.9510625852992786;0.9733418469151569;MACD_ON;;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;126;137;126;0.9930765426671795;61.0;0.0;0.0;18012.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.98;5.05;1.02;18119.95;0.9352813020633091;0.9862162162162162;0.9600736696704596;0.9755901933000027;MACD_ON;;
