mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;fp_fn_ratio;sweep;llm_budget
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;103;109;103;0.99439211629553;51.0;0.0;4.0;18209.0;1.0;0.9272727272727272;0.9622641509433962;0.940959409594096;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9562841530054644;68.78;3.52;5.220000000000001;18289.48;0.951313969571231;0.9294594594594595;0.9402597402597402;0.9337496606027695;0.5;cost_ratio;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;154;169;154;0.9917721857135224;58.0;0.0;0.0;18505.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;73.08;6.18;0.9199999999999999;18636.820000000003;0.9220287660862984;0.9875675675675676;0.9536734960198356;0.973724884080371;0.5;cost_ratio;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;126;136;126;0.9930765426671795;58.0;0.0;0.0;18015.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.89;4.8100000000000005;1.1099999999999999;18120.19;0.9380952380952381;0.985;0.9609756097560974;0.9752475247524752;0.5;cost_ratio;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;115;126;115;0.9937723383515651;48.0;0.0;3.0;18300.0;1.0;0.9411764705882353;0.9696969696969697;0.9523809523809523;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.42;3.7800000000000002;4.58;18388.219999999998;0.9483606557377049;0.9381081081081082;0.9432065217391303;0.9401408450704226;0.5;cost_ratio;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;98;110;98;0.9946550313607854;59.0;0.0;2.0;18176.0;1.0;0.9672131147540983;0.9833333333333333;0.9932659932659933;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.994475138121547;71.12;3.4600000000000004;2.8800000000000003;18257.54;0.95360686511129;0.9610810810810811;0.9573293848431821;0.9550923936398797;0.5;cost_ratio;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;105;111;105;0.9942832253498122;48.0;0.0;4.0;18210.0;1.0;0.9230769230769231;0.96;0.9836065573770492;70.0;0.0;4.0;18293.0;1.0;0.9459459459459459;0.9722222222222222;0.9887005649717514;68.59;3.44;5.41;18289.56;0.9522421213383313;0.9268918918918919;0.9393960145175649;0.9470617474870209;0.5;cost_ratio;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;153;167;153;0.9918256130790191;55.0;0.0;0.0;18509.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.88000000000001;6.02;1.12;18636.980000000003;0.9237008871989861;0.9848648648648648;0.953302812295618;0.9353182751540041;0.5;cost_ratio;
confirmacao;0.5;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;1000;126;134;126;0.9930765426671795;55.0;0.0;0.0;18018.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.65;4.6899999999999995;1.35;18120.31;0.939358675976209;0.9817567567567569;0.9600898638826484;0.9475427796327212;0.5;cost_ratio;
confirmacao;0.5;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;1000;118;127;118;0.9936098776129102;44.0;0.0;3.0;18301.0;1.0;0.9361702127659575;0.967032967032967;0.9865470852017937;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;69.15;3.72;4.85;18388.28;0.9489501852614245;0.9344594594594595;0.9416490774154014;0.9460161978767647;0.5;cost_ratio;
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;97;109;97;0.9947095718571038;57.0;0.0;2.0;18179.0;1.0;0.9661016949152542;0.9827586206896551;0.9726962457337884;72.0;0.0;2.0;18261.0;1.0;0.972972972972973;0.9863013698630136;0.9782608695652174;71.11;3.2800000000000002;2.89;18257.72;0.955908052157548;0.960945945945946;0.9584203787317206;0.959934123491455;1.0;cost_ratio;
