ml_model,ml_threshold,rules_threshold,precision,recall,f1,tp,fp,fn,tn
RF+SMOTE,0.6,1.5,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,2.0,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,2.5,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,3.0,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,3.5,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,4.0,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,4.5,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,5.0,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435
RF+SMOTE,0.6,5.5,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435
RF+SMOTE,0.6,6.0,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435
RF+SMOTE,0.6,6.5,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.6,7.0,1.0,0.7162162162162162,0.8346456692913385,53,0,21,18435
RF+SMOTE,0.6,7.5,1.0,0.7027027027027027,0.8253968253968254,52,0,22,18435
RF+SMOTE,0.6,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.6,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.6,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.6,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.6,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.6,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.6,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.65,0.0,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,0.5,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,1.0,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,1.5,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,2.0,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,2.5,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,3.0,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,3.5,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,4.0,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,4.5,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.65,5.0,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435
RF+SMOTE,0.65,5.5,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435
RF+SMOTE,0.65,6.0,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435
RF+SMOTE,0.65,6.5,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.65,7.0,1.0,0.7162162162162162,0.8346456692913385,53,0,21,18435
RF+SMOTE,0.65,7.5,1.0,0.7027027027027027,0.8253968253968254,52,0,22,18435
RF+SMOTE,0.65,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.65,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.65,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.65,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.65,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.65,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
